company name,location,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,Company Website,HKTDC Events,Certificates,,Other Certificates,supplier_url,exhibitor_url,Company Background
Stelux Watch Ltd,Hong Kong,"Distributor, Wholesaler, Manufacturer, Exporter",,"Stelux Watch Ltd has been crafting timepieces that transcend mere function, it tells stories. Since 1972, Stelux Watch has stood as a pillar of excellence in the watch industry, blending timeless craftsmanship with modern design","OBM, Others","Solvil et Titus,Ellesse",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NVJK?fairCode=hkwatchfair&locale=en,
Adriatica PR&A Watch Sagl,Switzerland,,,,,Adriatica,www.adriaticawatches.ch,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 Show More,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005RMS2?fairCode=hkwatchfair&locale=en,
"Foshan Huide (Devar`s) Watch Co.,Ltd",Chinese Mainland,"Exporter, Manufacturer","Digital Watch,Diver Watch,Chronograph Watch,Pilot Watch,Mens Watch","Quartz Watch, Men Watch, Women Watch","OEM, OBM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NCK0?fairCode=hkwatchfair&locale=en,
"Fuzhou Mexda Import and Export Co., Ltd.",Chinese Mainland,"Exporter, Manufacturer",Travel Clock,Watch,"ODM, OBM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong International Jewellery Show 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong International Jewellery Show 2024 HKTDC Hong Kong Watch & Clock Fair 2023 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fuzhou-Mexda-Import-Export-Co-Ltd/1X06RFGB?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005RQWM?fairCode=hkwatchfair&locale=en,
"Guangdong Yonghong Watch & Clock Co., Ltd",Chinese Mainland,"Exporter, Manufacturer","Chronograph Watch, Mens Watch","Custom Quartz Watches, Mechanical Watches, Stainless Steel Watches, Men's Watches, Women's Watches, Couples' Watches, Student Watches, Custom Watch Gift Boxes, and Watch Photography.","OBM, OEM, Others, ODM","utime,sinobi,shengke,utakata",www.yonghongwatches.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong International Jewellery Show 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Yonghong-Watch-Clock-Co-Ltd/1S00OFK1D?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005O8PP?fairCode=hkwatchfair&locale=en,
"Guangzhou Yilan Watch Industry Co., Ltd.",Chinese Mainland,"Retailer, Export Agent, Distributor, Wholesaler","Digital Watch,Quartz Analogue Watch,Sports Timer Watch,Chronograph Watch,Ladies Watch,Brandname Watch,Kids Watch,Mens Watch,Moon Phase Mechanical Watch",SANDA OFNS MOKAGO El Marco,OBM,"SANDA,OFNS,MOKAGO,El Marco",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005P0QU?fairCode=hkwatchfair&locale=en,
Jowissa Watch Ltd,Switzerland,,,,,,www.jowissa.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005RMR5?fairCode=hkwatchfair&locale=en,
"Naturalpak Industrial Co., Ltd.",Chinese Mainland,Manufacturer,Watch Box,Watch box watch display paper bag,"ODM, OEM",Naturalpak,https://www.natpakbox.com/,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong International Jewellery Show 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong International Jewellery Show 2025 HKTDC Hong Kong International Optical Fair 2024 HKTDC Hong Kong International Jewellery Show 2024 HKTDC Hong Kong Watch & Clock Fair 2023 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Naturalpak-Ind-l-Co-Ltd/1X07FB5Y?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NXVI?fairCode=hkwatchfair&locale=en,
Asia Leader Industrial Ltd,Hong Kong,Manufacturer,"Mens Watch, 24 Hour Dial Mechanical Watch, Diver Watch, Mechanical Hands & Digital Watch, Brandname Watch, Ladies Watch",-The assembly -Quality control -The technical office -2D and 3D designs -Rapid prototyping and CNC sample -Qualified and loyal staff,"ODM, OEM",Asia leader,www.asialeader.cn,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Asia-Leader-Industrial-Ltd/1X041NTA?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MICI?fairCode=hkwatchfair&locale=en,
Berlink Timepiece (HK) Limited,Hong Kong,Exporter,"Mens Watch, Skeleton Mechanical Watch",VETRON WATCHES,Others,"BERLINK,BLANSACAR,HOROSWISS",vetronwatch.com/,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2022 HKTDC Hong Kong Watch & Clock Fair 2019 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Berlink-Timepiece-HK-Limited/1X0A3UZJ?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MWWG?fairCode=hkwatchfair&locale=en,
Chelong Limited,Hong Kong,"Exporter, Manufacturer","24 Hour Dial Mechanical Watch,Quartz Analogue Watch,Ladies Watch,Mens Watch",OEM FOR HIGH QUALITY WRIST QUARTZ WATCH AND MECHAINCAL WATCH,"ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Electronics Fair (Autumn Edition) 2019 HKTDC Hong Kong Electronics Fair (Spring Edition) 2019 HKTDC Hong Kong Electronics Fair (Autumn Edition) 2018 HKTDC Hong Kong Electronics Fair (Spring Edition) 2018 HKTDC Hong Kong Electronics Fair (Autumn Edition) 2017 HKTDC Hong Kong Electronics Fair (Spring Edition) 2017,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005N0M6?fairCode=hkwatchfair&locale=en,
"Chung Nam Watch Co., Ltd.",Hong Kong,"Manufacturer, Exporter","Ladies Watch, Chronograph Watch, Mechanical Hands & Digital Watch, Skeleton Mechanical Watch, Solar Watch, Diver Watch, Quartz Analogue Watch, Mens Watch, Kids Watch, Pilot Watch","Services included design proposal, rendering, prototyping, engineering, quality assurance, manufacturing and assembling.",OEM,,www.chungnam.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2022 HKTDC Hong Kong Watch & Clock Fair 2021 Hong Kong Watch & Clock Fair 2007 Hong Kong Watch & Clock Fair 2006,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Chung-Nam-Watch-Co-Ltd/1X00IXJQ?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NJJW?fairCode=hkwatchfair&locale=en,
Comtech Watches Company Limited,Hong Kong,"Exporter, Buying Office, Manufacturer","Digital Watch, Ladies Watch, Sports Timer Watch, Moon Phase Mechanical Watch, Mens Watch, Kids Watch, Quartz Analogue Watch, Pendant Watch, Diver Watch, Solar Watch",Analog wrist watch,"OEM, ODM, OBM","OEM,Private Label,Obaku",www.comtech-watches.com,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 BASELWORLD 2021 The World Watch and Jewellery Show, Basel, Switzerland HKTDC Hong Kong Watch & Clock Fair 2019 BASELWORLD 2019 - The Watch and Jewellery Show HKTDC Hong Kong Watch & Clock Fair 2018 Show More",,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Comtech-Watches-Co-Ltd/1X0023FC?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005NO0C?fairCode=hkwatchfair&locale=en,
Concept Watch International Ltd,Hong Kong,Wholesaler,"Mechanical Hands & Digital Watch,24 Hour Dial Mechanical Watch,Quartz Analogue Watch,Chronograph Watch,Jewelled-lever Automatic Watch,Brandname Watch,Designer Watch,Mens Watch","MAKING NEW BUSINESS DEALS, FINDING NEW BUSINESS PARTNERS AND GROWING BRAND AWARENESS AROUND THE WORLD",Others,FERRUCCI,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005P2M4?fairCode=hkwatchfair&locale=en,
Delta Link Enterprises Limited,Hong Kong,"Distributor, Wholesaler, Export Agent, Exporter","Metal Watch Band, Watch Hand, Watch Case, Watch Glass, Watch Dial, Watch Buckle, Watch Movement, Watch Crown, Watch Battery, Metal Watch Case, Watch Spring Bar","We carry wide array products-battery, movement, toolings, glasses, buckles, spring bars, crowns, stems & gasket. Brands we carry including Seiko, ETA, Ronda, Miyota, Murata, Horotec. Glasses we produced are promoted under our brand name ""Superparts"".",OEM,"Seizaken,Superparts,Horotec",www.watch-parts.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2016 Show More,,,Member of The Federation of Hong Kong Watch Trade & Industries Ltd Issued By - Type - Valid Date (N/A) - (N/A),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Delta-Link-Enterprises-Ltd/1X00362G?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJ38?fairCode=hkwatchfair&locale=en,
Eastech Limited,Hong Kong,"Manufacturer, Exporter","24 Hour Dial Mechanical Watch,Quartz Analogue Watch,Ladies Watch,Mens Watch",Fashion Watches,OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MS8K?fairCode=hkwatchfair&locale=en,
Fengze (China) Limited,Hong Kong,"Manufacturer, Exporter",Watch Box,"Jewelry box, watch box, boxes of glasses, boxes of mobile phones, cosmetics box, toys box, food box, tea box, wine&spirits box, moon cake box, coins box, tobacco box, health products box, gift box, coin box, paper bags, displays and other packagings.","OEM, ODM",,www.fengze.cn,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2016 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fengze-China-Ltd/1X009H9C?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005RQIS?fairCode=hkwatchfair&locale=en,
"Grand Bentley International Co., Limited",Hong Kong,"Import Agent, Export Agent, Wholesaler","Diver Watch, Pilot Watch, Chronograph Watch, Moon Phase Mechanical Watch, Diver Watch, Ladies Watch, Moon Phase Mechanical Watch, Mens Watch, Quartz Analogue Watch, Mechanical Hands & Digital Watch, Promotional Watch, Designer Watch, Skeleton Mechanical Watch, Sports Timer Watch, Chronograph Watch, Digital Watch, Quartz Analogue Watch, Pilot Watch, Digital Watch, Skeleton Mechanical Watch, Smart Watch, Brandname Watch, Designer Watch, Brandname Watch, Mens Watch, 24 Hour Dial Mechanical Watch, Sports Timer Watch, Promotional Watch, Jewelled-lever Automatic Watch, Jewelled-lever Automatic Watch, Mechanical Hands & Digital Watch, Ladies Watch, Bluetooth Smart Watch, 24 Hour Dial Mechanical Watch, Diver Watch, Pilot Watch, Chronograph Watch, Moon Phase Mechanical Watch, Diver Watch, Ladies Watch, Moon Phase Mechanical Watch, Mens Watch, Quartz Analogue Watch, Mechanical Hands & Digital Watch, Promotional Watch, Designer Watch, Skeleton Mechanical Watch, Sports Timer Watch, Chronograph Watch, Digital Watch, Quartz Analogue Watch, Pilot Watch, Digital Watch, Skeleton Mechanical Watch, Smart Watch, Brandname Watch, Designer Watch, Brandname Watch, Mens Watch, 24 Hour Dial Mechanical Watch, Sports Timer Watch, Promotional Watch, Jewelled-lever Automatic Watch, Jewelled-lever Automatic Watch, Mechanical Hands & Digital Watch, Ladies Watch, Bluetooth Smart Watch, 24 Hour Dial Mechanical Watch, Diver Watch, Pilot Watch, Chronograph Watch, Moon Phase Mechanical Watch, Diver Watch, Ladies Watch, Moon Phase Mechanical Watch, Mens Watch, Quartz Analogue Watch, Mechanical Hands & Digital Watch, Promotional Watch, Designer Watch, Skeleton Mechanical Watch, Sports Timer Watch, Chronograph Watch, Digital Watch, Quartz Analogue Watch, Pilot Watch, Digital Watch, Skeleton Mechanical Watch, Smart Watch, Brandname Watch, Designer Watch, Brandname Watch, Mens Watch, 24 Hour Dial Mechanical Watch, Sports Timer Watch, Promotional Watch, Jewelled-lever Automatic Watch, Jewelled-lever Automatic Watch, Mechanical Hands & Digital Watch, Ladies Watch, Bluetooth Smart Watch, 24 Hour Dial Mechanical Watch, Designer Watch, Skeleton Mechanical Watch, Sports Timer Watch, Chronograph Watch, Digital Watch, Quartz Analogue Watch, Pilot Watch, Digital Watch, Skeleton Mechanical Watch, Smart Watch, Brandname Watch, Designer Watch, Brandname Watch, Mens Watch, 24 Hour Dial Mechanical Watch, Sports Timer Watch, Promotional Watch, Jewelled-lever Automatic Watch, Jewelled-lever Automatic Watch, Mechanical Hands & Digital Watch, Ladies Watch, Bluetooth Smart Watch, 24 Hour Dial Mechanical Watch, Diver Watch, Pilot Watch, Chronograph Watch, Moon Phase Mechanical Watch, Diver Watch, Ladies Watch, Moon Phase Mechanical Watch, Mens Watch, Quartz Analogue Watch, Mechanical Hands & Digital Watch, Promotional Watch","Established in 1948 in La Chaux-de-Fonds, Switzerland, BENTLEY Watches combines traditioanl craftsmanship with innovative design. Known for their precision and luxury, BENTLEY watches balance tradition and modernity.","OEM, ODM",BENTLEY,https://www.thegrandbentley.com/,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong International Licensing Show 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Grand-Bentley-International-Co-Limitied/1S00OQGS8?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MWUM?fairCode=hkwatchfair&locale=en,
H. K. Precision Technology Company Limited,Hong Kong,"Manufacturer, Exporter",Watch Movement,Mechanical Watch Movements and parts,"OEM, ODM, Others",,www.stylewatch.com/hkprecisiontech,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Electronics Fair (Autumn Edition) 2011 HKTDC Hong Kong Electronics Fair (Autumn Edition) 2010 HKTDC Hong Kong Electronics Fair (Autumn Edition) 2009 HKTDC International ICT Expo 2009 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/H-K-Precision-Technology-Company-Limited/1X0283SZ?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJUZ?fairCode=hkwatchfair&locale=en,
"Haosen Metal Products Co., Ltd.",Hong Kong,Manufacturer,"Metal Watch Band, Metal Watch Band, Metal Watch Band",Our factory specializes in producing in stainless steel solid band / semi-solid band / wrap band / extension band / mesh band,OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2016 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Haosen-Metal-Products-Co-Ltd-/1X07FMY8?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJ52?fairCode=hkwatchfair&locale=en,
Hip Shing Leather Watch Straps Mfy Ltd,Hong Kong,"Manufacturer, Wholesaler, Exporter","Fabric Watch Band, Silicone Watch Band, Leather Watch Band, Imitation Leather Watch Band","Leather watch straps, leather silicon straps, nylon straps,",OEM,,,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 ""Think Business, Think Hong Kong"" Product Expo in Bangkok, Thailand Hong Kong Watch and Clock Mission to UAE (Dubai) HKTDC Hong Kong Watch & Clock Fair 2022 HKTDC Hong Kong Watch & Clock Fair 2021 Show More",,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hip-Shing-Leather-Watch-Straps-Mfy-Ltd/1X00IYRF?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005P0SO?fairCode=hkwatchfair&locale=en,
"Hongkong Zhuoyue Watch Co., Ltd.",Hong Kong,Manufacturer,"Digital Watch,Sports Timer Watch",sport watch;ditital watch,"ODM, OBM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018,,,,N/A,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MIH3?fairCode=hkwatchfair&locale=en,
Hop Yuen Industrial Limited,Hong Kong,Manufacturer,Aftersales Watch Services Equipment and Tool,"無塵車間,淨化設備,焗爐,噴油櫃,無塵工作台,防靜電消耗品",OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Optical Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong International Optical Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong International Optical Fair 2019 electronicAsia 2019 HKTDC Hong Kong Watch & Clock Fair 2019 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hop-Yuen-Ind-l-Ltd/1X00263F?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005N0II?fairCode=hkwatchfair&locale=en,
Ice Concepts Company Limited,Hong Kong,"Manufacturer, Exporter","Ladies Watch, Pendant Watch, Mens Watch, Table Clock, Quartz Analogue Watch","We offer a wide range of Completed Watches in different designs to fit your market. Our products are included alloy, brass and stainless steel as well as Jewellery watches.","ODM, OBM, OEM",,www.icegifts-premium.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2009 HKTDC Hong Kong Watch & Clock Fair 2008 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ice-Concepts-Co-Ltd/1X00EOHJ?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005OB2J?fairCode=hkwatchfair&locale=en,
Imarch Watch & Clock Company Limited,Hong Kong,"Wholesaler, Exporter","Alarm Clock, Desk Clock, Table Clock, Wall Clock, Digital Clock, Travel Clock","Table clock, Travel alarm clock, Wall clock","OEM, OBM, Others","KO-o,Imarch",imarch.en.alibaba.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Gifts & Premium Fair 2018 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Imarch-Watch-Clock-Company-Limited/1X08FL27?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJJW?fairCode=hkwatchfair&locale=en,
"Juelong Watch Co., Limited",Hong Kong,Manufacturer,"Imitation Leather Watch Band, Leather Watch Band, Fabric Watch Band",1. Fabric Watch Band 2. Imitation Leather Watch Band 3. Leather Watch Band,"ODM, OEM, OBM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2023,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/JUELONG-WATCH-CO-LIMITED/1S00OB9AX?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MIAO?fairCode=hkwatchfair&locale=en,
Kronda Watch Straps Mfy. Limited,Hong Kong,"Manufacturer, Exporter","Imitation Leather Watch Band, Leather Watch Band",Manufacturer and export leather watch straps,OBM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Kronda-Watch-Straps-Mfy-Limited/1S00OR8X1?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MIZL?fairCode=hkwatchfair&locale=en,
Kwun Kee Leather Watch Straps Manufactory Limited,Hong Kong,Manufacturer,"Rubber Watch Band, Imitation Leather Watch Band, Leather Watch Band, Fabric Watch Band, Silicone Watch Band",watch straps,"ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2016 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/KWUN-KEE-LEATHER-WATCH-STRAPS-MFY-LTD/1X00IZFO?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MJEB?fairCode=hkwatchfair&locale=en,
Lock Up Timepiece Limited,Hong Kong,Manufacturer,"Chronograph Watch, Quartz Analogue Watch, Mens Watch, Ladies Watch",Will exhibit men and women complete watches. Specialize in men's quartz watches : chronograph and multi-function watches.,"OEM, ODM",,www.royaleagle.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 Hong Kong Watch and Clock Mission to UAE (Dubai) HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Lock-Up-Timepiece-Limited/1X0A4XUF?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005OWXD?fairCode=hkwatchfair&locale=en,
Luxpack Manufacturing Limited,Hong Kong,Manufacturer,Watch Box,"Watch Winder Box, Watch Box",OEM,,www.luxpack.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 HKTDC Hong Kong Watch & Clock Fair 2017 HKTDC Hong Kong Watch & Clock Fair 2016 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/LUXPACK-MFG-LTD/1X07PUQS?fairCode=hkwatchfair&locale=en,https://www.hktdc.com/event/hkwatchfair/en/exhibitor/1S005MHKV?fairCode=hkwatchfair&locale=en,
